fips,areaname,inc_2001q1,inc_2001q2,inc_2001q3,inc_2001q4,inc_2002q1,inc_2002q2,inc_2002q3,inc_2002q4,inc_2003q1,inc_2003q2,inc_2003q3,inc_2003q4,inc_2004q1,inc_2004q2,inc_2004q3,inc_2004q4,inc_2005q1,inc_2005q2,inc_2005q3,inc_2005q4,inc_2006q1,inc_2006q2,inc_2006q3,inc_2006q4,inc_2007q1,inc_2007q2,inc_2007q3,inc_2007q4,inc_2008q1,inc_2008q2,inc_2008q3,inc_2008q4,inc_2009q1
30,Montana,22013,22294,22516,22613,22373,22635,22952,23316,23493,24068,24380,24769,25152,25572,25872,26656,26802,27223,27821,28233,28632,29032,29667,30132,31155,31549,32029,32401,32642,33204,33302,33216,33055
31,Nebraska,48990,49356,49294,49574,49910,50091,50551,51010,52498,53198,53620,54249,54460,54750,55508,56979,56277,57154,57974,58663,58879,59675,59799,61354,62849,63849,64947,65794,66314,67714,67934,66958,66689
32,Nevada,63502,64592,64947,64429,65771,66412,66730,67615,69117,70194,71824,73598,76918,78813,80954,84313,86946,89742,90902,92483,93642,96113,97234,99059,99449,100586,102437,104724,104347,104679,104946,103097,102280
33,New Hampshire,42608,42613,42524,42751,43041,43598,43420,43514,43568,43983,44479,45279,45996,46736,47675,48353,47671,48340,49125,49591,50941,51301,51969,53647,53751,54662,54775,55374,56029,56555,56575,56525,56245
34,New Jersey,330609,332269,332968,335959,337268,337565,336914,336291,336226,341243,345200,348763,353835,357892,364130,371430,369485,372996,380052,385116,397167,402913,405446,412369,424116,425582,429210,434791,441236,441319,444185,442450,440318
35,New Mexico,43268,43940,44399,44946,44400,44933,45120,45494,45589,46347,46748,47917,48674,49335,49944,51298,52115,53029,53839,54548,55706,56431,57248,58096,59100,59818,60866,61489,62590,64201,64139,64336,64366
36,New York,681675,673248,690528,674092,676911,681119,677570,674818,677339,691757,696651,708385,719578,729477,746352,764467,766837,776603,795413,815392,826626,839158,849798,871600,893511,887330,904576,917857,930461,933085,942916,938128,932763
37,North Carolina,224549,225783,224438,226810,227130,229198,229211,229199,230932,232816,235657,240530,244164,248049,252676,258794,262906,266368,270556,274217,279162,282618,287433,292567,300614,302746,306404,310326,312251,319779,319454,317927,318709
38,North Dakota,16388,16491,16442,16540,16506,16541,16794,17131,17616,18063,18414,18623,18366,18343,18579,19292,19637,19966,20214,20403,20042,20450,20567,21001,22468,22636,23265,23697,24549,25255,25732,25280,24616
39,Ohio,324197,325621,325689,326984,329599,333103,334743,335185,337599,339582,340630,346775,343923,349447,353853,361190,358063,360481,364067,368095,372283,376741,380643,382830,393381,393235,396709,399133,402567,409468,408801,407515,405289
40,Oklahoma,89423,90151,90289,90781,89717,89899,90342,90754,90700,92082,92994,94622,97163,99138,100623,103173,103879,105494,107567,110021,114755,115904,117728,119116,123110,125060,127501,129420,131102,135152,135848,135402,135274
41,Oregon,98796,99137,99001,99146,101099,102233,101876,102319,103358,104326,105471,107489,107370,109195,110226,112080,111643,113350,115633,116890,121429,122692,124723,126585,128735,130286,132241,133849,134485,136822,136762,136034,135360
42,Pennsylvania,370256,372373,372947,373780,380095,382682,383118,383111,387582,391527,394901,401622,403927,409793,416473,425227,422057,426347,432152,437531,447974,452933,458306,464324,475535,478084,484140,489465,493894,503189,504286,504575,504274
44,Rhode Island,32307,32484,32475,32647,33221,33640,33767,33914,34598,34704,35139,35845,36117,36484,37115,37558,37215,37635,38079,38541,38865,39760,40352,40587,41815,41676,41907,42386,43032,43339,43226,43683,43405
45,South Carolina,100893,101161,101465,102353,103116,104218,104170,104682,105957,106474,107357,109023,110594,112557,114332,116927,117448,119248,121130,123071,127419,129006,130759,132495,134574,136038,137923,139490,140601,144142,143506,142557,142894
46,South Dakota,20407,20474,20434,20404,20335,20342,20704,21003,21891,22232,22470,22951,23415,23646,23855,24498,24648,24956,25305,25444,24914,25152,25573,26068,27777,28144,28794,29101,29745,30166,30271,29871,29744
47,Tennessee,153129,154299,154566,155670,157695,159328,159206,160463,162901,164427,165732,168546,170729,173148,175949,178717,179657,182032,185371,187796,190868,194618,196120,199180,201798,204126,206033,209444,210642,214429,213892,212562,212882
48,Texas,618746,619955,619125,620743,621403,626102,627749,631161,635701,645774,653098,663102,676222,686781,698944,717753,735789,746948,766284,784751,799544,814259,828009,844756,862907,877776,890143,905937,921545,944012,943369,947978,942825
49,Utah,56020,56499,56710,57145,58027,58107,58135,58418,58529,59082,59538,60499,61642,63047,63937,65634,67474,68824,70578,72114,73391,74771,76292,77939,77712,79363,80119,81277,81572,83036,83187,82576,82268
50,Vermont,17602,17774,17736,17855,17911,18016,18074,18203,18328,18576,18669,19271,19198,19714,19919,20273,19896,20108,20449,20638,21574,21594,21923,22148,22877,23124,23406,23662,23970,24228,24389,24484,24435
51,Virginia,231264,235263,233246,235309,237799,240835,241814,241686,245281,248601,251942,256597,261052,264687,269054,275290,280126,284113,289285,293217,302402,305074,308249,311948,316728,319030,323517,325706,329289,334294,335646,335626,336545
53,Washington,190904,196430,193591,193068,196298,198072,198236,197201,198552,202948,205851,204418,207023,210911,213756,242037,220760,223741,227784,234056,240123,243384,247514,252037,258751,262763,268946,272493,273516,276760,280599,277466,276411
54,West Virginia,41343,41802,41919,42545,43044,43159,43378,43665,43376,43634,43898,44457,44671,45438,45887,46746,46786,47313,47793,48366,49587,50220,50756,51327,52472,52793,53439,54021,54700,56118,56540,57129,57181
